axis,axis_label,feature,feature_label
env,관계망 환경축,friends_d3,D3 친구 수
env,관계망 환경축,class_users_d0_3,D0-D3 같은 반 유저 수
env,관계망 환경축,grade_users_d0_3,D0-D3 같은 학년 유저 수
env,관계망 환경축,class_active_users_d0_3,D0-D3 같은 반 활동 유저 수
env,관계망 환경축,grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수
receive,수신 반응축,received_vote_yn_d0_3,D0-D3 수신 경험 여부
receive,수신 반응축,received_vote_count_d0_3,D0-D3 수신 Ping 수
receive,수신 반응축,received_vote_days_d0_3,D0-D3 수신 발생일수
receive,수신 반응축,first_received_vote_day_d0_3,첫 수신 발생일
receive,수신 반응축,point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부
receive,수신 반응축,point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수
send,발신 행동축,sent_vote_experience_d0_3,D0-D3 발신 경험 여부
send,발신 행동축,sent_vote_count_d0_3,D0-D3 발신 투표 수
send,발신 행동축,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수
send,발신 행동축,sent_vote_active_days_d0_3,D0-D3 발신 활동일수
send,발신 행동축,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수
send,발신 행동축,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수
send,발신 행동축,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율
