feature,feature_label,sample_n,zero_rate,nonzero_count,mean,max
point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,50000,0.99428,286,0.0588,103.0
point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,50000,0.99428,286,0.00572,1.0
sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,50000,0.99362,319,0.76222,455.0
sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,50000,0.99362,319,0.005981289250351473,1.0
sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,50000,0.9936,320,0.70216,397.0
sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,50000,0.9936,320,0.18226,78.0
sent_vote_experience_d0_3,D0-D3 발신 경험 여부,50000,0.9936,320,0.0064,1.0
sent_vote_count_d0_3,D0-D3 발신 투표 수,50000,0.9936,320,0.81132,469.0
sent_vote_active_days_d0_3,D0-D3 발신 활동일수,50000,0.9936,320,0.02178,4.0
first_received_vote_day_d0_3,첫 수신 발생일,50000,0.99354,323,0.01036,3.0
received_vote_count_d0_3,D0-D3 수신 Ping 수,50000,0.98408,796,0.76212,495.0
received_vote_yn_d0_3,D0-D3 수신 경험 여부,50000,0.98408,796,0.01592,1.0
received_vote_days_d0_3,D0-D3 수신 발생일수,50000,0.98408,796,0.04724,4.0
class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,50000,0.67994,16003,0.99,39.0
grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,50000,0.4537,27315,7.13938,228.0
class_users_d0_3,D0-D3 같은 반 유저 수,50000,0.02766,48617,10.33192,74.0
grade_users_d0_3,D0-D3 같은 학년 유저 수,50000,0.00352,49824,84.0817,305.0
friends_d3,D3 친구 수,50000,0.00042,49979,43.51634,977.0
