column,label,non_null_count,zero_count,mean,p50,p75,p90,p95,p99,max,max_to_p99_ratio,above_p99_count,above_p99_rate_pct,expected_max,above_expected_max_count,max_user_id,max_group,check_note,is_isolated_extreme_candidate,recommended_action
payment_count_d0_28,payment_count_d0_28,648067,593056,0.13,0.0,0.0,0.0,1.0,3.0,59.0,19.67,3673,0.57,,0,1527451,보낸 투표 경험 무,max가 p99의 10배 이상이라 극단값 영향 점검 필요,False,기본 분석에서는 유지
payment_count_d8_28,payment_count_d8_28,648067,631857,0.04,0.0,0.0,0.0,0.0,1.0,51.0,51.0,3727,0.58,,0,1246471,보낸 투표 경험 무,max가 p99의 10배 이상이라 극단값 영향 점검 필요,False,기본 분석에서는 유지
payment_amount_d0_28,"추정 구매 하트 수
D0-D28",648067,593056,108.02,0.0,0.0,0.0,777.0,1777.0,69977.0,39.38,6216,0.96,,0,1141603,보낸 투표 경험 무,max가 p99의 10배 이상이라 극단값 영향 점검 필요,False,기본 분석에서는 유지
payment_amount_d8_28,"추정 구매 하트 수
D8-D28",648067,631857,28.64,0.0,0.0,0.0,0.0,777.0,54000.0,69.5,4699,0.73,,0,1167602,보낸 투표 경험 무,max가 p99의 10배 이상이라 극단값 영향 점검 필요,False,기본 분석에서는 유지
sent_vote_count_d0_7,"보낸 투표 수
D0-D7",648067,643306,1.39,0.0,0.0,0.0,0.0,0.0,1142.0,,4761,0.73,,0,1206529,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
sent_vote_complete_count_d0_7,"완료된 보낸 투표 수
D0-D7",648067,643312,1.31,0.0,0.0,0.0,0.0,0.0,1025.0,,4755,0.73,,0,1206529,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
sent_vote_distinct_chosen_users_d0_7,"선택한 고유 유저 수
D0-D7",648067,643306,0.25,0.0,0.0,0.0,0.0,0.0,130.0,,4761,0.73,,0,1207066,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
sent_vote_distinct_questions_d0_7,"투표한 고유 질문 수
D0-D7",648067,643306,1.14,0.0,0.0,0.0,0.0,0.0,768.0,,4761,0.73,,0,1206529,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
received_vote_read_count_d0_7,"받은 투표 열람 수
D0-D7",648067,637100,0.79,0.0,0.0,0.0,0.0,7.0,738.0,105.43,6414,0.99,,0,1228225,보낸 투표 경험 유,max가 p99의 10배 이상이라 극단값 영향 점검 필요,False,기본 분석에서는 유지
hackle_question_start_count_d0_7,"Hackle 질문 시작 수
D0-D7",648067,647780,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,287,0.04,,0,1579178,보낸 투표 경험 무,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
hackle_question_complete_count_d0_7,"Hackle 질문 완료 수
D0-D7",648067,647937,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,130,0.02,,0,1578035,보낸 투표 경험 무,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
hackle_question_skip_count_d0_7,"Hackle 질문 스킵 수
D0-D7",648067,647946,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,121,0.02,,0,1578139,보낸 투표 경험 무,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
active_days_d0_28,"활동일수
D0-D28",648067,13121,5.33,5.0,8.0,10.0,12.0,16.0,29.0,1.81,4551,0.7,,0,849103,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
active_days_d8_28,"활동일수
D8-D28",648067,262546,1.67,1.0,2.0,5.0,6.0,10.0,21.0,2.1,4994,0.77,,0,849103,보낸 투표 경험 유,최대치 참고용. 원본값은 삭제하지 않음,False,기본 분석에서는 유지
