event_date,total_events,click_appbar_alarm_center,click_attendance,click_bottom_navigation_timeline,click_friend_invite,click_invite_friend,click_notice_detail,click_question_open,click_question_share,view_timeline_tap,click_notice,active_sessions
2023-07-18,601647,16152,7688,31803,321,112,15867,49810,5998,154,1.0,37507
2023-07-19,432323,7280,6832,21502,144,48,7891,43146,5324,203,0.0,28536
2023-07-20,654795,18059,8914,37475,239,72,15989,53438,5188,3707,0.0,40601
2023-07-21,776150,19043,9252,38755,248,77,16890,53346,4931,105682,0.0,41398
2023-07-22,472335,7348,6470,21402,160,87,7593,37218,3531,58809,0.0,26653
2023-07-23,660058,16872,8104,34494,173,40,14911,48003,3887,90396,0.0,35480
2023-07-24,425333,6857,6621,19358,137,34,6889,34802,3323,52905,0.0,25937
2023-07-25,392567,5580,6080,16344,79,33,6040,30938,3260,45752,0.0,22856
2023-07-26,371971,4890,5681,14752,113,26,5464,27364,3014,41170,0.0,21566
2023-07-27,642616,16103,7227,29229,142,46,13684,39178,3894,77142,0.0,33098
2023-07-28,639293,15954,7399,29988,146,70,13754,37711,3130,78218,0.0,32330
2023-07-29,633852,16452,7420,29964,155,47,14124,37846,2865,78759,0.0,32309
2023-07-30,390684,6173,5934,16962,96,21,5980,28768,2221,45154,0.0,22606
2023-07-31,337094,4916,5527,13905,86,27,5142,26093,1989,37851,0.0,20273
2023-08-01,302524,4183,5226,12802,64,17,4047,22782,1608,33919,0.0,18904
2023-08-02,280159,3739,4981,11595,57,29,3685,21815,1599,31509,0.0,17926
2023-08-03,262394,3500,4603,10927,60,27,3443,21599,1305,29339,0.0,16759
2023-08-04,481213,12906,6063,22834,116,27,10604,29897,1661,59958,0.0,25896
2023-08-05,680102,20454,7569,32256,170,45,17052,38508,1994,83374,0.0,34430
2023-08-06,806121,24756,8963,38314,229,74,21521,46212,2717,101414,0.0,37928
2023-08-07,395502,8229,6193,17224,106,24,6759,27140,1800,47053,0.0,21821
2023-08-08,291349,4809,5265,12298,73,34,4552,21422,1409,33386,0.0,17912
2023-08-09,261141,4579,4899,10969,48,14,3966,20371,1381,29540,0.0,16372
2023-08-10,250096,4707,4826,10899,59,23,3511,19394,1212,29114,0.0,15784
