question_date,question_record_count,question_user_count,question_chosen_user_count,has_read_count,opened_times_sum
2023-04-28,3173,125,181,457,104
2023-04-29,11405,221,371,1645,523
2023-04-30,16220,325,762,2709,629
2023-05-01,12274,325,973,2382,508
2023-05-02,13663,413,1307,2799,637
2023-05-03,24718,756,2025,6134,1281
2023-05-04,22814,820,2093,6134,1294
2023-05-05,41509,1248,3110,16082,2857
2023-05-06,48634,1375,3756,31311,3477
2023-05-07,44662,1355,4303,26842,2762
2023-05-08,34200,1295,4356,19962,1975
2023-05-09,29392,1318,4215,17836,1736
2023-05-10,30957,1372,4340,19066,1813
2023-05-11,35934,1554,4412,23359,2242
2023-05-12,47206,1623,4233,31719,3414
2023-05-13,65254,1938,4877,43908,4598
2023-05-14,77534,2101,5396,48718,5194
2023-05-15,59391,1997,5010,35934,3901
2023-05-16,59911,2089,5446,35245,3866
2023-05-17,54153,1944,5103,30888,3397
2023-05-18,44630,1821,4897,25524,2932
2023-05-19,36462,1574,4309,21042,2570
2023-05-20,38558,1730,4825,22478,2665
2023-05-21,46365,1733,5042,29774,2987
2023-05-22,34488,1519,4779,21808,2323
2023-05-23,30746,1372,4605,19676,1915
2023-05-24,29153,1274,4602,18602,1859
2023-05-25,22065,1066,4342,13747,1305
2023-05-26,21324,1191,4717,12762,1256
2023-05-27,25609,1332,5206,14737,1501
2023-05-28,25275,1356,5446,13936,1422
2023-05-29,23495,1301,5301,12326,1369
2023-05-30,13310,881,4095,6841,839
2023-05-31,10995,763,3607,5442,645
2023-06-01,7972,641,2989,3883,479
2023-06-02,7768,681,3158,3914,526
2023-06-03,9331,709,3407,4433,636
2023-06-04,7251,571,2811,3429,458
2023-06-05,5084,429,2212,2393,321
2023-06-06,6510,584,2870,2922,406
2023-06-07,3942,353,2020,1724,212
2023-06-08,2933,275,1561,1226,155
2023-06-09,2240,228,1322,920,131
2023-06-10,2591,258,1480,1064,173
2023-06-11,2362,244,1426,888,173
2023-06-12,1542,165,1018,576,104
2023-06-13,1401,146,948,554,95
2023-06-14,1288,140,875,461,54
2023-06-15,1017,118,686,379,87
2023-06-16,945,109,629,362,63
2023-06-17,997,113,701,371,83
2023-06-18,1053,113,742,385,73
2023-06-19,730,83,515,276,56
2023-06-20,513,56,379,158,21
2023-06-21,390,47,300,106,17
2023-06-22,747,78,573,276,64
2023-06-23,252,36,211,82,8
2023-06-24,589,77,477,208,42
2023-06-25,537,64,403,210,58
2023-06-26,262,36,215,80,22
2023-06-27,264,32,202,102,28
2023-06-28,364,39,288,117,37
2023-06-29,210,22,159,69,11
2023-06-30,256,28,185,82,29
2023-07-01,271,31,205,100,19
2023-07-02,278,25,208,95,29
2023-07-03,265,28,207,97,20
2023-07-04,243,25,164,85,32
2023-07-05,162,24,121,34,3
2023-07-06,115,15,98,39,4
2023-07-07,122,18,99,35,4
2023-07-08,143,25,130,45,10
2023-07-09,128,18,103,33,7
2023-07-10,132,17,118,45,18
2023-07-11,791,83,576,242,59
2023-07-12,261,39,213,80,20
2023-07-13,241,30,184,57,11
2023-07-14,171,23,146,52,12
2023-07-15,87,13,79,21,3
2023-07-16,135,17,119,29,3
2023-07-17,88,12,71,25,5
2023-07-18,117,18,102,22,4
2023-07-19,137,14,101,42,16
2023-07-20,221,26,178,53,15
2023-07-21,209,27,181,56,15
2023-07-22,126,14,106,34,10
2023-07-23,209,19,153,39,8
2023-07-24,57,9,42,15,9
2023-07-25,68,9,61,19,8
2023-07-26,92,12,73,21,7
2023-07-27,101,14,90,19,5
2023-07-28,121,14,89,27,4
2023-07-29,125,17,107,31,4
2023-07-30,61,11,50,17,10
2023-07-31,119,16,107,35,11
2023-08-01,68,9,63,23,11
2023-08-02,82,13,75,20,17
2023-08-03,71,8,63,17,6
2023-08-04,96,16,89,23,12
2023-08-05,174,25,143,38,11
2023-08-06,143,21,119,39,12
2023-08-07,114,14,94,24,7
2023-08-08,126,15,96,34,4
2023-08-09,137,14,104,31,2
2023-08-10,42,5,39,5,3
2023-08-11,93,11,77,19,3
2023-08-12,78,10,61,13,2
2023-08-13,23,3,21,7,2
2023-08-14,42,5,36,5,1
2023-08-15,13,2,11,3,0
2023-08-16,85,9,70,17,3
2023-08-17,41,7,34,8,1
2023-08-18,107,13,80,23,7
2023-08-19,52,9,42,18,4
2023-08-20,101,14,91,19,4
2023-08-21,30,4,22,9,6
2023-08-22,52,6,41,5,0
2023-08-23,16,4,15,4,1
2023-08-24,49,6,34,12,11
2023-08-25,10,1,9,4,2
2023-08-26,41,4,37,10,4
2023-08-27,29,4,26,3,0
2023-08-28,10,1,9,2,1
2023-08-29,36,5,33,10,4
2023-08-30,31,2,21,12,6
2023-08-31,58,5,37,15,2
2023-09-01,24,2,19,8,1
2023-09-02,14,2,12,3,3
2023-09-03,58,8,50,9,5
2023-09-04,4,2,3,0,0
2023-09-05,10,1,9,3,0
2023-09-07,6,2,6,0,0
2023-09-08,19,2,17,2,0
2023-09-09,62,7,48,22,11
2023-09-10,18,3,17,3,0
2023-09-11,57,7,53,6,3
2023-09-12,18,2,18,3,0
2023-09-14,19,3,15,2,1
2023-09-15,78,11,65,17,7
2023-09-16,11,3,7,3,0
2023-09-17,197,35,173,52,15
2023-09-18,269,46,230,44,21
2023-09-19,110,16,98,13,6
2023-09-20,56,11,48,9,2
2023-09-21,41,8,36,5,0
2023-09-22,63,8,56,13,11
2023-09-23,29,5,28,4,0
2023-09-24,73,11,68,15,3
2023-09-25,128,16,98,15,8
2023-09-26,86,11,50,4,2
2023-09-27,88,10,66,8,1
2023-09-28,64,8,51,5,5
2023-09-29,15,2,12,0,0
2023-09-30,48,7,35,1,0
2023-10-01,10,2,7,0,0
2023-10-02,4,2,2,1,0
2023-10-03,52,6,42,9,1
2023-10-04,18,2,11,0,0
2023-10-05,7,1,4,0,0
2023-10-06,7,1,7,0,0
2023-10-07,9,2,8,2,0
2023-10-08,47,8,41,8,1
2023-10-09,9,3,7,1,0
2023-10-10,26,4,21,1,0
2023-10-11,4,1,3,0,0
2023-10-12,9,1,7,3,1
2023-10-13,28,3,24,4,2
2023-10-14,10,1,9,2,0
2023-10-15,4,2,3,0,0
2023-10-18,11,2,11,2,1
2023-10-19,15,2,12,3,3
2023-10-20,2,1,2,0,0
2023-10-21,6,1,5,0,0
2023-10-22,8,2,7,1,0
2023-10-24,2,1,2,1,0
2023-10-25,14,4,13,0,0
2023-10-26,1,1,1,0,0
2023-10-27,4,1,4,0,0
2023-10-28,1,1,1,0,0
2023-10-29,12,2,12,0,0
2023-10-30,10,1,9,1,0
2023-11-01,1,1,1,0,0
2023-11-02,22,4,21,2,0
2023-11-04,18,3,18,3,1
2023-11-05,17,3,15,0,0
2023-11-06,17,3,16,4,1
2023-11-07,28,3,26,7,1
2023-11-08,38,2,26,3,0
2023-11-10,20,2,18,2,0
2023-11-11,8,2,8,0,0
2023-11-12,8,1,8,0,0
2023-11-14,11,2,10,3,0
2023-11-16,10,1,9,2,0
2023-11-17,9,1,7,1,0
2023-11-18,12,2,9,3,1
2023-11-22,10,1,10,1,0
2023-11-23,10,1,9,1,0
2023-11-28,14,3,13,1,0
2023-12-01,39,3,32,6,3
2023-12-02,46,3,34,7,5
2023-12-03,27,3,20,4,0
2023-12-04,3,1,3,0,0
2023-12-05,10,1,10,1,0
2023-12-06,30,2,26,5,3
2023-12-07,21,2,19,3,2
2023-12-08,107,11,83,16,5
2023-12-09,40,2,25,8,4
2023-12-10,27,3,24,2,2
2023-12-11,5,1,5,0,0
2023-12-13,5,1,5,0,0
2023-12-14,20,2,18,2,0
2023-12-16,10,2,5,0,0
2023-12-17,20,2,15,0,0
2023-12-18,9,1,9,0,0
2023-12-21,9,1,8,0,0
2023-12-22,9,1,8,1,0
2023-12-23,15,2,11,5,0
2023-12-24,7,1,3,1,0
2023-12-25,1,1,1,0,0
2023-12-26,1,1,1,0,0
2023-12-27,20,1,14,4,0
2023-12-31,21,3,17,3,0
2024-01-01,2,1,2,0,0
2024-01-03,10,1,10,0,0
2024-01-05,10,1,8,0,0
2024-01-06,11,2,11,1,0
2024-01-07,12,2,10,1,0
2024-01-09,9,1,8,0,0
2024-01-12,1,1,1,0,0
2024-01-13,19,2,14,0,0
2024-01-14,28,5,26,0,0
2024-01-15,1,1,1,0,0
2024-01-19,16,2,10,6,1
2024-01-20,16,2,9,7,2
2024-01-21,8,2,7,4,0
2024-01-22,18,2,12,2,1
2024-01-23,8,1,4,1,1
2024-01-25,8,2,8,0,0
2024-01-27,10,1,9,0,0
2024-01-28,19,1,16,0,0
2024-01-30,20,1,13,0,0
2024-01-31,10,1,9,0,0
2024-02-01,29,1,24,0,0
2024-02-02,19,1,16,1,0
2024-02-03,40,1,28,1,0
2024-02-04,22,2,18,2,1
2024-02-05,3,1,3,0,0
2024-02-08,10,1,9,0,0
2024-02-09,4,1,3,2,0
2024-02-19,9,1,9,0,0
2024-02-20,2,2,2,0,0
2024-02-27,8,1,4,0,0
2024-02-28,2,1,2,0,0
2024-02-29,6,1,5,0,0
2024-03-03,6,3,6,0,0
2024-03-08,11,2,11,0,0
2024-03-09,25,3,21,1,1
2024-03-10,10,1,9,1,1
2024-03-17,9,1,9,0,0
2024-03-18,10,1,10,0,0
2024-03-19,2,1,2,0,0
2024-03-20,1,1,1,0,0
2024-03-30,6,1,6,0,0
2024-03-31,1,1,1,0,0
2024-04-12,9,1,9,0,0
2024-04-14,10,1,10,0,0
2024-04-18,10,1,7,0,0
2024-04-23,4,1,3,0,0
2024-05-03,5,1,3,0,0
2024-05-05,10,1,9,0,0
2024-05-06,8,1,7,0,0
2024-05-07,11,2,11,1,0
2024-05-08,4,1,4,0,0
