segment_axis,receiver_intensity_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
수신 반응축 강도 구간,0회,저활동·저관계·적체,338443,41.015,35.961,7.996,2.277,0.124,41812,27061,0.033,11065,7705,98.51,33340130,25.411,8600154,4.717,1596365,328470,1.424,481899,181568,0.0,92,8,0.0,0,0,0.019,6498,1110,0.0,0.0,0.0,-0.045,-0.125,-0.207,1.545,1232.036,1.436,1116.178,4.86,2.654,11.5,0.0,5.854,636091,53.21
수신 반응축 강도 구간,0회,저활동·고관계·비적체,297648,50.666,48.216,9.097,2.746,0.147,43878,27076,0.041,12081,8172,119.467,35559212,32.22,9590235,5.791,1723807,294564,1.83,544690,194183,0.003,851,27,0.0,0,0,0.04,11946,1669,0.0,0.0,0.0,-0.039,-0.125,0.109,1.621,1313.311,1.478,1173.548,5.852,2.805,31.519,0.0,7.158,636091,46.79
수신 반응축 강도 구간,1회,저활동·저관계·적체,194,38.144,36.598,8.247,2.062,0.144,28,16,0.052,10,4,113.567,22032,48.098,9331,5.711,1108,190,1.649,320,127,0.0,0,0,1.0,194,194,8.402,1630,194,37.113,0.0,2.062,-0.054,2.661,1.571,1.75,1377.0,2.5,2332.75,5.832,2.52,0.0,1.0,8.402,1321,14.69
수신 반응축 강도 구간,1회,저활동·고관계·비적체,369,38.482,37.127,8.13,4.336,0.119,44,30,0.049,18,16,102.799,37933,34.42,12701,6.954,2566,365,2.333,861,256,0.0,0,0,1.0,369,369,9.894,3651,369,38.211,0.0,5.42,-0.054,2.692,2.014,1.467,1264.433,1.125,793.812,7.03,3.363,0.0,1.0,9.894,1321,27.93
수신 반응축 강도 구간,1회,고활동·고관계·적체,758,39.182,34.96,7.652,3.166,0.136,103,58,0.053,40,24,154.999,117489,64.595,48963,5.797,4394,751,1.723,1306,470,0.983,745,16,1.0,758,758,10.445,7917,758,38.522,1.319,5.937,0.071,3.546,2.123,1.776,2025.672,1.667,2040.125,5.851,2.779,46.562,1.0,10.445,1321,57.38
수신 반응축 강도 구간,2-3회,저활동·저관계·적체,21,0.0,0.0,9.524,0.0,0.286,6,2,0.0,0,0,407.333,8554,0.0,0,4.667,98,21,1.238,26,11,0.0,0,0,2.095,44,21,10.762,226,21,0.0,0.0,0.0,-0.054,2.599,1.964,3.0,4277.0,0.0,0.0,4.667,2.364,0.0,2.095,10.762,1587,1.32
수신 반응축 강도 구간,2-3회,저활동·고관계·비적체,31,3.226,3.226,3.226,0.0,0.032,1,1,0.0,0,0,25.065,777,0.0,0,6.323,196,30,2.645,82,18,0.0,0,0,2.032,63,31,12.935,401,31,3.226,0.0,0.0,-0.054,2.568,2.48,1.0,777.0,0.0,0.0,6.533,4.556,0.0,2.032,12.935,1587,1.95
수신 반응축 강도 구간,2-3회,고활동·고관계·적체,1535,36.678,33.746,6.319,2.476,0.094,144,97,0.033,51,38,73.786,113261,25.97,39864,6.703,10289,1523,2.133,3274,1067,0.735,1128,31,2.46,3776,1535,15.653,24027,1535,36.221,1.238,5.016,0.064,4.458,2.368,1.485,1167.639,1.342,1049.053,6.756,3.068,36.387,2.46,15.653,1587,96.72
수신 반응축 강도 구간,4-10회,고활동·고관계·적체,2312,36.938,34.602,6.877,2.984,0.106,244,159,0.04,93,69,82.714,191235,29.65,68551,7.643,17670,2301,2.534,5859,1701,1.907,4409,90,6.519,15073,2312,29.433,68048,2312,37.067,2.941,5.969,0.172,5.919,2.883,1.535,1202.736,1.348,993.493,7.679,3.444,48.989,6.519,29.433,2312,100.0
수신 반응축 강도 구간,11회 이상,고활동·고관계·적체,7300,35.0,33.411,7.397,2.507,0.115,841,540,0.035,257,183,87.63,639702,26.395,192681,13.186,96257,7275,6.434,46965,6282,122.024,890773,4590,115.768,845107,7300,443.191,3235295,7300,35.055,60.904,7.26,3.623,7.519,3.393,1.557,1184.633,1.404,1052.902,13.231,7.476,194.068,115.768,443.191,7300,100.0
