file_key,path,exists,required_columns,missing_columns,actual_columns,status,error
users,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_user_master.csv,True,"id, created_at, friend_id_list, group_id, pending_votes",,"id, is_superuser, is_staff, gender, point, friend_id_list, is_push_on, created_at, block_user_id_list, hide_user_id_list, ban_status, report_count, alarm_count, pending_chat, pending_votes, group_id",ok,
groups,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_group_raw.csv,True,"id, grade, class_num, school_id",,"id, grade, class_num, school_id",ok,
user_properties,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\user_properties_raw.csv,True,"user_id, class, grade, school_id",,"user_id, class, gender, grade, school_id",ok,
attendance_long,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_attendance_long.csv,True,"user_id, attendance_date_list",,"id, attendance_date_list, user_id",ok,
payment,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_paymenthistory_raw.csv,True,"id, productId, created_at, user_id",,"id, productId, phone_type, created_at, user_id",ok,
question_record,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_userquestionrecord_raw.csv,True,"id, status, created_at, chosen_user_id, question_id, user_id, has_read, answer_updated_at, opened_times",,"id, status, created_at, chosen_user_id, question_id, user_id, question_piece_id, has_read, answer_status, answer_updated_at, report_count, opened_times",ok,
friend_request,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_friendrequest_raw.csv,True,"id, status, created_at, updated_at, receive_user_id, send_user_id",,"id, status, created_at, updated_at, receive_user_id, send_user_id",ok,
point_history,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\accounts_pointhistory_raw.csv,True,"id, delta_point, created_at, user_id",,"id, delta_point, created_at, user_id, user_question_record_id",ok,
hackle_properties,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\hackle_properties_raw.csv,True,"session_id, user_id",,"id, session_id, user_id, language, osname, osversion, versionname, device_id",ok,
hackle_events,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\hackle_events_raw.csv,True,"event_id, event_datetime, event_key, session_id",,"event_id, event_datetime, event_key, session_id, id, item_name, page_name, friend_count, votes_count, heart_balance, question_id",ok,
candidate_exposure,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\polls_usercandidate_raw.csv,True,"id, created_at, question_piece_id, user_id",,"id, created_at, question_piece_id, user_id",ok,
question_piece,C:\Users\tngus\Desktop\데이터분석 부트캠프\미션\고급 프로젝트\raw_data\polls_questionpiece_raw.csv,True,"id, question_id",,"id, is_voted, created_at, question_id, is_skipped",ok,
